Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
WR	M	255	5	16	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	M	00	Y	0	Men's Freestyle 55 kg Victory Ceremony	Men's FR 55 kg Victory Ceremony	Lutte libre, 55 kg - hommes, remise des médailles	Libre, 55 kg - hommes, remise médailles	NONE	N	Y					
WR	M	260	0	00	N	0	Men's Freestyle 60 kg	Men's FR 60 kg	Lutte libre, 60 kg - hommes	Lutte libre, 60 kg - hommes	NONE	N	N					
WR	M	260	1	00	N	0	Men's Freestyle 60 kg Finals	Men's FR 60 kg Finals	Lutte libre, 60 kg - hommes, finales	Libre, 60 kg - hommes, finales	NONE	N	N					
WR	M	260	1	01	Y	1	Men's Freestyle 60 kg Gold Medal	Men's FR 60 kg Gold Medal	Lutte libre, 60 kg - hommes, combat pour la médaille d'or	Libre, 60 kg - hommes, médaille d'or	HATH	N	Y					
WR	M	260	2	00	N	0	Men's Freestyle 60 kg Semifinals/Bronze Medal Finals	Men's FR 60 kg Semifinals/Bronze Finals	Lutte libre, 60 kg - hommes, demi-finales / finales pour la médaille de bronze	Libre, 60 kg - h, 1/2 finales/bronze	NONE	N	N					
WR	M	260	2	01	Y	0	Men's Freestyle 60 kg Semifinal	Men's FR 60 kg Semifinal	Lutte libre, 60 kg - hommes, demi-finale	Libre, 60 kg - hommes, 1/2 finale	HATH	N	Y					
WR	M	260	2	02	Y	0	Men's Freestyle 60 kg Semifinal	Men's FR 60 kg Semifinal	Lutte libre, 60 kg - hommes, demi-finale	Libre, 60 kg - hommes, 1/2 finale	HATH	N	Y					
WR	M	260	2	50	N	0	Men's Freestyle 60 kg Bronze Medal Finals	Men's FR 60 kg Bronze Medal Finals	Lutte libre, 60 kg - hommes, finales pour la médaille de bronze	Libre, 60 kg - hommes, finales bronze	NONE	N	N					
WR	M	260	2	51	Y	2	Men's Freestyle 60 kg Bronze	Men's FR 60 kg Bronze	Lutte libre, 60 kg - hommes, repêchage bronze	Libre, 60 kg - hommes, repêchage bronze	HATH	N	Y					
WR	M	260	2	52	Y	2	Men's Freestyle 60 kg Bronze	Men's FR 60 kg Bronze	Lutte libre, 60 kg - hommes, repêchage bronze	Libre, 60 kg - hommes, repêchage bronze	HATH	N	Y					
WR	M	260	3	00	N	0	Men's Freestyle 60 kg Quarterfinals/Repechage Round 2 	Men's FR 60 kg Quarterfinals/Rep Rnd 2	Lutte libre, 60 kg - hommes, quarts de finale / 2e tour de repêchage	Libre, 60 kg - h, 1/4 finale/repêchage 2	NONE	N	N					
WR	M	260	3	01	Y	0	Men's Freestyle 60 kg Quarterfinal	Men's FR 60 kg Quarterfinal	Lutte libre, 60 kg - hommes, quarts de finale	Libre, 60 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	260	3	02	Y	0	Men's Freestyle 60 kg Quarterfinal	Men's FR 60 kg Quarterfinal	Lutte libre, 60 kg - hommes, quarts de finale	Libre, 60 kg - hommes, 1/4 finale	HATH	N	Y					
WR	M	260	3	03	Y	0	Men's Freestyle 60 kg Quarterfinal	Men's FR 60 kg Quarterfinal	Lutte libre, 60 kg - hommes, quarts de finale	Libre, 60 kg - hommes, 1/4 finale	HATH	N	Y					
